T,Date,SPX_close,SPLRCT_close,SPLRCL_close,SPLRCM_close,SPLRCREC_close,SPLRCS_close,SPSY_close,SPNY_close,SPXHC_close,SPLRCD_close,SPLRCI_close,SPLRCU_close,VIX_close,SPX_R,SPX_log_r,SPLRCT_R,SPLRCT_log_r,SPLRCL_R,SPLRCL_log_r,SPLRCM_R,SPLRCM_log_r,SPLRCREC_R,SPLRCREC_log_r,SPLRCS_R,SPLRCS_log_r,SPSY_R,SPSY_log_r,SPNY_R,SPNY_log_r,SPXHC_R,SPXHC_log_r,SPLRCD_R,SPLRCD_log_r,SPLRCI_R,SPLRCI_log_r,SPLRCU_R,SPLRCU_log_r,SPX_vol20,SPX_vol60,SPX_vol20_div_vol60,SPX_vol20_normalized,SPX_vol20_div_vol60_normalized,VIX_close_normalized
0,2010-01-04,1133.0,376.5,116.42,205.36,93.79,277.0,197.79,442.08,367.26,236.46,247.11,158.33,20.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
1,2010-01-05,1136.5,376.3,116.64,206.43,94.04,276.7,201.15,445.6,365.15,237.62,247.99,156.51,19.35,0.003089143865842895,0.0013395301975923876,-0.0005312084993359592,-0.00023076221685503984,0.0018897096718776744,0.0008199160250376469,0.005210362290611575,0.002256956902667966,0.0026655293741337026,0.0011560845934081609,-0.0010830324909747702,-0.00047060992349657997,0.01698771424237835,0.007315706443915106,0.007962359753890787,0.0034443145932363476,-0.005745248597723721,-0.0025023249053622108,0.004905692294679847,0.0021253062959817218,0.0035611670915786306,0.0015438478955279605,-0.01149497884165996,-0.00502112032519868,0.0021843545755983376,0.0021843545755983376,1.0,0.7071067811865476,,-0.7071067811865476
2,2010-01-06,1137.1,373.0,113.17,209.57,93.84,276.35,202.0,450.2,366.89,237.59,248.49,157.28,19.16,0.0005279366476022077,0.00022921947149105758,-0.008769598724422034,-0.003825386511176754,-0.02974965706447187,-0.013116195086292028,0.015210967398149427,0.006556300826964686,-0.002126754572522361,-0.0009246213454289175,-0.0012649078424284998,-0.0005496902231579811,0.004225702212279365,0.0018313325393435995,0.010323159784560066,0.00446030849882868,0.004765165000684675,0.0020645697547547657,-0.0001262519989899888,-5.483400801500074e-05,0.0020162103310617362,0.0008747474797135368,0.004919813430451794,0.00213140904602309,0.001652337200378323,0.001652337200378323,1.0,0.3278509227235462,,-0.7702228075183244
3,2010-01-07,1141.7,371.6,112.21,208.61,94.95,276.28,206.21,449.2,368.26,239.63,251.72,156.43,19.06,0.004045378594670774,0.001753341522052025,-0.0037533512064342554,-0.0016331264870834336,-0.008482813466466448,-0.0036997535192057193,-0.004580808321801687,-0.0019939903153313593,0.011828644501278766,0.0051069699655635,-0.0002533019721369641,-0.00011002158368467435,0.02084158415841588,0.00895835279822319,-0.002221235006663705,-0.0009657430750810089,0.0037340892365559284,0.0016186740909383797,0.00858621995875244,0.003713030215384154,0.012998511006479092,0.00560880699685996,-0.005404374364191215,-0.0023534551846381775,0.001958596011270126,0.001958596011270126,1.0,0.5148286383879573,,-0.7754275311955399
4,2010-01-08,1145.0,374.5,111.7,210.75,93.72,274.87,205.09,451.47,369.35,239.6,255.56,156.23,18.13,0.00289042655688881,0.001253485621374126,0.007804090419806182,0.0033761167138811176,-0.004545049460832287,-0.0019783892527925864,0.010258376875509257,0.004432460219091814,-0.012954186413902094,-0.005662689148111216,-0.005103518169972377,-0.002222104891262979,-0.005431356384268486,-0.0023652371602266675,0.005053428317008101,0.0021891493251588933,0.0029598653125510015,0.0012835545338434852,-0.00012519300588407603,-5.437403532382844e-05,0.015255045288415713,0.006575156384654335,-0.0012785271367385862,-0.0005556125390370463,0.001751321030751683,0.001751321030751683,1.0,0.27875984552825794,,-1.4846371395171878
5,2010-01-11,1147.0,372.9,111.66,210.34,94.21,275.98,205.15,451.99,370.88,239.36,258.55,157.95,17.55,0.0017467248908296944,0.0007579312253608409,-0.0042723631508678845,-0.0018594386741780978,-0.0003581020590868957,-0.00015554960119845172,-0.001945432977461431,-0.0008457137136896566,0.005228339735381934,0.0022647238692059105,0.004038272637974365,0.001750267867446046,0.000292554488273452,0.00012703621831121432,0.0011517930316521181,0.0004999295055172403,0.004142412346013193,0.0017953109264964504,-0.0010016694490817223,-0.00043523753290641344,0.011699796525277856,0.0050516626479862655,0.011009409204378155,0.004755197476782587,0.0015734563942346852,0.0015734563942346852,1.0,0.0687916549501875,,-1.4872352002730682
6,2010-01-12,1136.2,368.7,111.21,206.27,92.45,277.45,201.88,445.74,368.62,236.37,256.48,157.36,18.25,-0.00941586748038357,-0.004108632960027862,-0.011263073209975836,-0.004919245755190685,-0.004030091348737263,-0.0017537827651845316,-0.01934962441760955,-0.008485800998551831,-0.01868166861267372,-0.008190088298939236,0.005326472932821112,0.002307118839892301,-0.0159395564221302,-0.00697822524128321,-0.013827739551759994,-0.006047217687756938,-0.006093615185504721,-0.0026545194991958,-0.012491644385026776,-0.005459220985427698,-0.0080061883581512,-0.003491037098018977,-0.0037353592909146883,-0.0016252833298874005,0.004565500931470211,0.004565500931470211,1.0,1.93073143314325,,-0.6358254967815602
7,2010-01-13,1145.7,372.1,110.78,208.15,94.4,279.31,204.24,447.49,373.37,238.55,257.7,158.78,17.85,0.008361204013377926,0.003616128151740511,0.009221589368049997,0.003986532415417614,-0.0038665587627011297,-0.0016824799385612617,0.009114267707373808,0.00394034663825779,0.021092482422931345,0.009065078802877095,0.006703910614525189,0.0029017556631510447,0.011690112938379304,0.005047505734545666,0.003926055548077355,0.0017017259065315333,0.012885898757528078,0.005560524994067616,0.009222828616152671,0.003987065696005243,0.004756706175920034,0.0020609135408350457,0.0090238942552109,0.003901450697086984,0.005075915357417124,0.005075915357417124,1.0,1.6365146477789532,,-0.9626029847621135
8,2010-01-14,1148.5,374.7,108.8,206.13,94.04,279.16,205.54,448.26,376.41,238.65,257.55,158.29,17.63,0.002443920747141446,0.0010600864380645681,0.006987368986831405,0.003024023072263835,-0.017873262321718757,-0.007832465448503714,-0.009704539995195821,-0.004235211962225376,-0.003813559322033892,-0.0016593738451672027,-0.0005370377000464619,-0.0002332951594606626,0.006365060712886716,0.002755550395511453,0.0017207088426556612,0.0007466521539137251,0.008142057476497898,0.0035217329341502078,0.0004191993292810493,0.00018201780731783376,-0.0005820721769498536,-0.0002528643343069476,-0.0030860309862703683,-0.0013423185135370726,0.004760681451323527,0.004760681451323527,1.0,1.222522822621049,,-1.062962490184272
9,2010-01-15,1136.0,370.0,107.26,203.93,92.96,277.34,201.35,444.78,374.84,236.51,254.39,157.27,17.91,-0.0108837614279495,-0.004752668156044788,-0.012543368027755507,-0.00548196902680292,-0.01415441176470581,-0.0061911027351117635,-0.010672876340173621,-0.00466008402446748,-0.011484474691620719,-0.005016505406646301,-0.006519558676028263,-0.00284067843708993,-0.020385326457137285,-0.00894471824825504,-0.007763351626288355,-0.0033847362873992604,-0.004170983767700247,-0.0018152235054472614,-0.008967106641525308,-0.003911930613613804,-0.012269462240341778,-0.005361518899725795,-0.006443868848316266,-0.002807592307742574,0.005961009148637489,0.005961009148637489,1.0,1.5329499142012997,,-0.6874854472433894
10,2010-01-19,1150.2,375.8,108.82,207.16,94.99,279.1,203.64,448.58,382.47,239.29,256.63,159.11,17.58,0.01250000000000004,0.005395031886706144,0.015675675675675706,0.006755051697511834,0.014544098452358642,0.006270928942836396,0.0158387682047761,0.006824783109753017,0.021837349397590376,0.00938177262773836,0.006346001298045893,0.0027473252718460133,0.011373230692823403,0.004911454421850221,0.008543549620036898,0.0036946560949608284,0.02035535161668993,0.00875144663440671,0.011754259862162282,0.005075041608932757,0.008805377569873065,0.003807388635105713,0.011699624848985842,0.005051588952140025,0.0067494030570652355,0.0067494030570652355,1.0,1.5789377885289808,,-0.9761328844077186
11,2010-01-20,1138.0,370.3,107.28,204.04,93.5,276.34,203.37,440.79,380.45,236.48,253.42,157.43,18.68,-0.010606850982437877,-0.0046311012026538706,-0.014635444385311336,-0.00640306371506424,-0.01415181032898357,-0.006189956726343236,-0.015060822552616357,-0.006590587486707111,-0.015685861669649383,-0.006866276801476091,-0.00988892869939107,-0.004316083233575804,-0.0013258691809073945,-0.0005761997361956552,-0.017365910205537394,-0.007608173284026476,-0.005281459983789679,-0.002299787404913353,-0.011743073258389412,-0.0051301329828500495,-0.012508280403694066,-0.005466537371081453,-0.010558732952045796,-0.0046099802893386525,0.007308185657113701,0.007308185657113701,1.0,1.5416885405729193,,0.30388172323368023
