"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","1,810.82","1,802.58","1,811.43","1,798.77","287.42M","0.13%"
"12/02/2024","1,808.41","1,803.75","1,813.15","1,801.87","329.96M","1.06%"
"11/29/2024","1,789.44","1,774.06","1,790.34","1,772.05","171.73M","1.11%"
"11/27/2024","1,769.79","1,784.48","1,785.39","1,765.70","221.90M","-0.69%"
"11/26/2024","1,782.17","1,766.98","1,783.65","1,766.08","316.84M","0.90%"
"11/25/2024","1,766.25","1,770.49","1,783.89","1,764.56","431.26M","0.99%"
"11/22/2024","1,748.90","1,735.33","1,755.55","1,731.55","378.94M","1.18%"
"11/21/2024","1,728.46","1,736.47","1,736.48","1,716.39","313.98M","-0.30%"
"11/20/2024","1,733.68","1,735.57","1,736.86","1,714.25","309.32M","-0.57%"
"11/19/2024","1,743.67","1,719.08","1,748.72","1,715.57","332.92M","0.42%"
"11/18/2024","1,736.30","1,740.39","1,752.94","1,724.84","366.39M","0.85%"
"11/15/2024","1,721.70","1,728.12","1,737.98","1,711.00","424.00M","-1.36%"
"11/14/2024","1,745.48","1,770.73","1,778.54","1,743.34","380.59M","-1.54%"
"11/13/2024","1,772.70","1,763.07","1,778.86","1,760.04","370.49M","1.14%"
"11/12/2024","1,752.64","1,767.59","1,769.93","1,745.22","404.68M","-1.10%"
"11/11/2024","1,772.07","1,767.63","1,780.11","1,755.66","442.19M","1.75%"
"11/08/2024","1,741.51","1,721.64","1,750.98","1,717.03","449.44M","1.23%"
"11/07/2024","1,720.39","1,702.27","1,728.33","1,699.43","390.14M","1.37%"
"11/06/2024","1,697.06","1,678.65","1,697.73","1,662.22","601.48M","3.62%"
"11/05/2024","1,637.75","1,612.62","1,639.35","1,611.67","301.04M","1.83%"
"11/04/2024","1,608.37","1,610.88","1,622.02","1,603.70","308.07M","-0.61%"
"11/01/2024","1,618.22","1,622.68","1,635.26","1,615.38","373.42M","2.40%"
"10/31/2024","1,580.24","1,601.76","1,605.77","1,576.98","451.12M","-1.81%"
"10/30/2024","1,609.44","1,616.25","1,623.74","1,608.59","332.40M","0.01%"
"10/29/2024","1,609.26","1,602.16","1,612.89","1,597.72","460.61M","-0.20%"
"10/28/2024","1,612.48","1,624.37","1,628.71","1,612.42","386.58M","0.12%"
"10/25/2024","1,610.51","1,607.09","1,625.54","1,604.92","380.45M","0.48%"
"10/24/2024","1,602.74","1,585.90","1,605.02","1,580.31","407.68M","3.24%"
"10/23/2024","1,552.44","1,568.14","1,571.44","1,544.32","302.91M","-1.82%"
