"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","207.21","206.93","208.99","203.06","2.00M","2.03%"
"12/30/2008","203.08","197.43","203.24","197.43","1.82M","2.84%"
"12/29/2008","197.48","199.89","199.89","194.53","1.64M","-1.24%"
"12/26/2008","199.95","198.91","200.12","197.90","864.12K","0.52%"
"12/24/2008","198.91","197.65","199.52","197.27","709.64K","0.24%"
"12/23/2008","198.43","199.77","201.71","197.08","2.12M","-0.67%"
"12/22/2008","199.77","202.55","202.70","196.04","2.37M","-1.37%"
"12/19/2008","202.55","200.57","205.67","200.45","3.82M","0.99%"
"12/18/2008","200.57","206.93","208.12","198.84","3.68M","-3.07%"
"12/17/2008","206.93","207.43","209.45","203.89","2.93M","-0.24%"
"12/16/2008","207.43","196.78","207.94","196.78","3.52M","5.41%"
"12/15/2008","196.78","197.96","200.36","194.51","2.52M","-0.60%"
"12/12/2008","197.96","197.29","198.78","191.85","3.04M","0.34%"
"12/11/2008","197.29","205.99","205.99","196.20","2.94M","-4.22%"
"12/10/2008","205.99","203.34","208.80","202.95","2.97M","1.28%"
"12/09/2008","203.39","210.35","210.35","201.63","3.73M","-3.31%"
"12/08/2008","210.35","201.81","213.56","201.81","4.01M","4.23%"
"12/05/2008","201.81","197.17","202.94","189.65","3.33M","2.35%"
"12/04/2008","197.17","202.57","204.03","193.85","3.36M","-2.67%"
"12/03/2008","202.57","197.97","203.21","192.03","4.09M","2.33%"
"12/02/2008","197.96","188.51","198.41","188.51","4.36M","5.01%"
"12/01/2008","188.51","206.02","206.02","188.18","3.32M","-8.50%"
"11/28/2008","206.03","200.62","206.03","200.60","1.57M","2.70%"
"11/26/2008","200.62","194.98","200.92","189.93","3.04M","2.80%"
"11/25/2008","195.15","192.44","197.38","189.77","4.12M","1.40%"
"11/24/2008","192.46","183.33","196.63","183.33","4.59M","4.98%"
"11/21/2008","183.33","171.59","183.63","169.73","5.11M","6.84%"
"11/20/2008","171.60","182.19","186.54","170.00","5.84M","-5.81%"
"11/19/2008","182.19","195.85","196.64","182.08","4.36M","-7.03%"
"11/18/2008","195.96","194.83","197.91","188.99","3.87M","0.55%"
"11/17/2008","194.89","198.45","201.11","192.19","3.01M","-1.79%"
"11/14/2008","198.45","207.90","209.24","197.13","3.50M","-4.55%"
"11/13/2008","207.90","196.48","208.29","185.29","6.15M","5.74%"
"11/12/2008","196.62","207.41","207.41","195.50","3.85M","-5.28%"
"11/11/2008","207.59","213.17","213.17","203.84","3.06M","-2.62%"
"11/10/2008","213.17","213.68","220.33","210.33","2.54M","-0.24%"
"11/07/2008","213.69","208.28","215.34","208.28","2.68M","2.60%"
