"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","111.70","110.30","113.06","109.73","88.00M","1.48%"
"12/30/2008","110.07","108.78","110.07","107.99","86.20M","1.19%"
"12/29/2008","108.78","109.16","109.44","106.96","68.79M","-0.38%"
"12/26/2008","109.20","108.28","109.54","108.28","35.09M","0.85%"
"12/24/2008","108.28","107.96","109.34","107.96","37.21M","0.30%"
"12/23/2008","107.96","109.45","110.77","107.66","97.40M","-1.36%"
"12/22/2008","109.45","109.85","111.18","107.15","129.51M","-0.36%"
"12/19/2008","109.85","108.66","111.59","108.55","170.98M","1.10%"
"12/18/2008","108.66","110.30","111.88","107.85","138.22M","-1.49%"
"12/17/2008","110.30","110.03","112.30","107.84","101.14M","0.25%"
"12/16/2008","110.03","105.40","110.90","105.40","149.87M","4.39%"
"12/15/2008","105.40","108.79","108.79","103.47","150.78M","-3.12%"
"12/12/2008","108.79","108.18","109.86","106.31","114.96M","0.56%"
"12/11/2008","108.18","109.54","110.75","107.83","123.58M","-1.24%"
"12/10/2008","109.54","112.50","114.21","108.59","126.55M","-2.63%"
"12/09/2008","112.50","115.73","115.73","111.64","130.09M","-2.79%"
"12/08/2008","115.73","110.21","117.74","110.21","140.14M","4.97%"
"12/05/2008","110.25","108.64","111.76","104.61","123.53M","1.45%"
"12/04/2008","108.67","112.25","113.84","106.92","122.95M","-3.19%"
"12/03/2008","112.25","108.60","112.72","105.88","140.59M","3.36%"
"12/02/2008","108.60","103.57","109.08","103.57","130.31M","4.86%"
"12/01/2008","103.57","110.72","110.72","103.55","121.50M","-6.46%"
"11/28/2008","110.72","109.84","111.26","108.95","52.17M","0.78%"
"11/26/2008","109.86","104.49","110.65","101.49","119.79M","5.14%"
"11/25/2008","104.49","102.34","106.12","102.01","140.91M","2.10%"
"11/24/2008","102.34","95.41","105.10","95.41","184.60M","7.26%"
"11/21/2008","95.41","91.26","95.81","88.27","203.80M","4.55%"
"11/20/2008","91.26","94.66","99.20","90.52","204.89M","-3.59%"
"11/19/2008","94.66","100.50","101.20","94.49","148.48M","-5.81%"
"11/18/2008","100.50","101.85","103.49","96.69","150.75M","-1.33%"
"11/17/2008","101.85","104.87","104.90","100.48","121.38M","-2.88%"
"11/14/2008","104.87","108.69","109.64","102.72","166.09M","-3.51%"
"11/13/2008","108.69","100.03","108.86","98.33","218.95M","8.66%"
"11/12/2008","100.03","104.30","104.30","99.34","191.30M","-4.13%"
"11/11/2008","104.34","106.64","106.71","103.22","116.26M","-2.16%"
"11/10/2008","106.64","105.45","109.07","105.10","112.52M","1.13%"
"11/07/2008","105.45","102.34","105.70","102.34","124.67M","3.04%"
"11/06/2008","102.34","107.27","108.26","101.38","136.32M","-4.60%"
"11/05/2008","107.27","114.76","114.76","106.74","130.86M","-6.53%"
"11/04/2008","114.76","109.06","116.59","109.06","135.52M","5.23%"
"11/03/2008","109.06","104.04","109.93","104.04","121.28M","4.83%"
"10/31/2008","104.04","105.23","109.91","104.04","169.06M","-1.13%"
"10/30/2008","105.23","104.37","108.29","102.74","136.48M","0.82%"
"10/29/2008","104.37","107.96","108.42","103.01","162.09M","-3.33%"
"10/28/2008","107.96","95.30","107.96","95.30","170.76M","13.28%"
"10/27/2008","95.30","93.78","98.87","93.04","136.75M","1.62%"
"10/24/2008","93.78","97.03","97.03","90.57","157.57M","-3.35%"
"10/23/2008","97.03","93.69","99.43","92.58","170.62M","3.56%"
"10/22/2008","93.69","101.50","101.50","91.11","150.58M","-7.69%"
"10/21/2008","101.50","105.50","106.12","100.68","126.56M","-3.79%"
"10/20/2008","105.50","99.04","105.67","99.04","127.32M","6.52%"
"10/17/2008","99.04","99.71","103.91","95.74","147.66M","-0.67%"
"10/16/2008","99.71","96.73","100.49","93.38","167.18M","3.08%"
"10/15/2008","96.73","105.43","105.43","96.73","147.67M","-8.25%"
"10/14/2008","105.43","104.16","111.30","103.33","161.32M","1.22%"
"10/13/2008","104.16","91.53","104.16","91.53","156.12M","13.80%"
"10/10/2008","91.53","92.75","98.79","84.57","258.18M","-1.32%"
"10/09/2008","92.75","99.93","101.64","92.30","186.26M","-7.19%"
"10/08/2008","99.93","102.53","104.98","98.71","201.32M","-3.81%"
"10/07/2008","103.89","108.64","111.48","103.89","189.64M","-4.37%"
"10/06/2008","108.64","113.84","113.84","105.34","204.60M","-4.57%"
"10/03/2008","113.84","113.83","117.60","113.49","166.95M","0.01%"
"10/02/2008","113.83","115.19","116.62","112.95","127.64M","-1.18%"
"10/01/2008","115.19","114.99","116.20","112.05","142.37M","0.17%"
"09/30/2008","114.99","112.82","117.62","112.82","154.86M","1.92%"
"09/29/2008","112.82","121.35","121.35","112.10","145.57M","-7.03%"
"09/26/2008","121.35","121.36","121.58","118.81","83.02M","-0.04%"
"09/25/2008","121.40","117.22","123.07","117.22","118.11M","3.57%"
"09/24/2008","117.22","116.54","117.78","115.39","99.31M","0.58%"
"09/23/2008","116.54","118.64","120.98","116.11","116.50M","-1.77%"
"09/22/2008","118.64","124.17","124.17","117.69","114.37M","-4.45%"
"09/19/2008","124.17","119.26","125.28","119.26","171.28M","4.12%"
"09/18/2008","119.26","115.76","119.91","112.17","217.86M","3.02%"
"09/17/2008","115.76","121.43","121.43","114.82","188.25M","-4.67%"
"09/16/2008","121.43","122.15","122.46","118.40","166.32M","-0.59%"
"09/15/2008","122.15","128.01","128.01","122.15","147.60M","-4.58%"
"09/12/2008","128.01","128.09","128.10","125.40","106.57M","-0.06%"
"09/11/2008","128.09","128.23","128.31","125.27","143.85M","-0.11%"
"09/10/2008","128.23","131.65","131.76","128.12","157.46M","-2.60%"
"09/09/2008","131.65","132.04","134.14","131.55","139.94M","-0.30%"
"09/08/2008","132.04","128.21","132.11","128.21","117.72M","2.99%"
"09/05/2008","128.21","128.74","128.74","126.56","103.07M","-0.49%"
"09/04/2008","128.84","133.32","133.33","128.82","124.83M","-3.36%"
"09/03/2008","133.32","133.21","134.18","132.52","102.47M","0.08%"
"09/02/2008","133.21","131.71","136.01","131.71","90.86M","1.14%"
"08/29/2008","131.71","132.92","134.49","131.71","77.56M","-0.91%"
"08/28/2008","132.92","129.65","133.14","129.65","75.09M","2.52%"
"08/27/2008","129.65","127.56","130.19","127.56","58.35M","1.64%"
"08/26/2008","127.56","127.66","128.04","126.61","62.42M","-0.08%"
"08/25/2008","127.66","130.56","130.56","127.34","60.45M","-2.22%"
"08/22/2008","130.56","128.44","131.17","128.44","70.89M","1.65%"
"08/21/2008","128.44","128.21","128.77","126.84","85.08M","0.18%"
"08/20/2008","128.21","128.19","129.37","126.90","78.02M","0.02%"
"08/19/2008","128.19","130.56","130.56","127.62","96.15M","-1.82%"
"08/18/2008","130.56","131.87","132.89","129.99","92.50M","-0.99%"
"08/15/2008","131.87","129.70","132.50","129.70","108.47M","1.67%"
"08/14/2008","129.70","129.46","130.62","127.29","89.87M","0.19%"
"08/13/2008","129.46","130.98","130.98","128.07","84.13M","-1.16%"
"08/12/2008","130.98","132.06","132.26","130.52","99.67M","-0.82%"
"08/11/2008","132.06","129.04","132.48","129.04","160.23M","2.34%"
"08/08/2008","129.04","125.14","129.41","125.14","183.72M","3.12%"
"08/07/2008","125.14","126.72","126.87","124.23","383.16M","-1.25%"
"08/06/2008","126.72","128.45","128.65","125.65","211.45M","-1.39%"
"08/05/2008","128.50","125.12","128.70","125.09","123.85M","2.70%"
"08/04/2008","125.12","126.08","126.55","123.81","82.09M","-0.76%"
"08/01/2008","126.08","127.17","129.24","125.48","97.16M","-0.86%"
"07/31/2008","127.17","127.91","129.98","127.03","181.76M","-0.58%"
"07/30/2008","127.91","127.02","128.46","126.39","98.14M","0.70%"
"07/29/2008","127.02","126.20","127.75","126.20","89.15M","0.65%"
"07/28/2008","126.20","129.26","129.26","126.13","91.01M","-2.37%"
"07/25/2008","129.26","130.22","130.98","128.89","87.24M","-0.74%"
"07/24/2008","130.22","134.35","134.35","129.83","97.36M","-3.07%"
"07/23/2008","134.35","130.00","135.79","130.00","127.03M","3.35%"
"07/22/2008","130.00","130.67","130.67","127.89","140.25M","-0.51%"
"07/21/2008","130.67","131.52","132.39","130.28","87.53M","-0.65%"
"07/18/2008","131.52","130.31","131.52","129.21","104.39M","0.93%"
"07/17/2008","130.31","131.03","131.26","129.38","125.06M","-0.55%"
"07/16/2008","131.03","130.96","131.20","129.28","130.91M","0.05%"
"07/15/2008","130.96","130.97","133.25","128.41","183.37M","-0.01%"
"07/14/2008","130.97","131.75","133.07","130.53","79.26M","-0.59%"
"07/11/2008","131.75","132.54","133.23","130.30","101.39M","-0.60%"
"07/10/2008","132.54","130.60","132.88","130.60","94.32M","1.49%"
"07/09/2008","130.60","133.80","134.91","130.52","92.86M","-2.39%"
"07/08/2008","133.80","131.39","133.95","131.19","110.97M","0.82%"
"07/07/2008","132.71","132.65","134.70","130.62","112.55M","0.05%"
"07/03/2008","132.65","133.46","133.88","132.21","90.46M","-0.61%"
"07/02/2008","133.46","134.83","135.92","133.38","109.84M","-1.02%"
"07/01/2008","134.83","136.46","136.46","133.41","144.47M","-1.19%"
"06/30/2008","136.46","132.28","136.97","132.09","152.97M","3.16%"
"06/27/2008","132.28","133.88","134.25","132.28","159.12M","-1.20%"
"06/26/2008","133.88","137.48","137.48","133.84","169.15M","-2.65%"
