"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","591.49","595.55","596.21","590.33","83.63M","-0.33%"
"12/02/2024","593.46","594.27","594.55","589.49","102.69M","-0.20%"
"11/29/2024","594.62","591.51","595.07","590.55","64.20M","0.49%"
"11/27/2024","591.72","593.10","597.01","591.06","73.38M","-0.09%"
"11/26/2024","592.25","594.44","594.44","589.99","87.04M","-0.67%"
"11/25/2024","596.26","591.30","597.02","591.29","137.27M","0.94%"
"11/22/2024","590.68","587.47","591.19","586.77","79.92M","0.55%"
"11/21/2024","587.47","580.71","587.50","578.94","101.66M","1.20%"
"11/20/2024","580.50","576.55","581.12","574.25","123.56M","0.72%"
"11/19/2024","576.35","573.85","577.16","570.92","121.38M","-0.28%"
"11/18/2024","577.99","574.29","578.05","573.85","77.70M","0.74%"
"11/15/2024","573.77","577.26","578.48","572.67","93.54M","-0.79%"
"11/14/2024","578.32","581.42","582.28","577.66","86.08M","-0.70%"
"11/13/2024","582.38","581.11","583.58","579.72","88.09M","0.20%"
"11/12/2024","581.22","588.36","588.78","579.61","93.04M","-1.57%"
"11/11/2024","590.49","592.69","594.98","589.94","83.63M","-0.52%"
"11/08/2024","593.55","595.49","597.35","592.72","94.99M","-0.91%"
"11/07/2024","599.01","597.89","601.29","597.44","122.55M","0.51%"
"11/06/2024","596.00","594.65","598.77","591.32","132.98M","1.20%"
"11/05/2024","588.95","585.88","591.35","585.46","84.46M","0.20%"
"11/04/2024","587.79","589.41","591.66","585.19","97.17M","0.47%"
"11/01/2024","585.02","586.22","589.01","584.79","87.30M","-0.19%"
"10/31/2024","586.14","590.95","592.26","586.14","105.52M","-1.52%"
"10/30/2024","595.19","593.20","598.97","593.20","84.15M","0.37%"
"10/29/2024","592.98","594.44","596.64","592.63","68.43M","-0.67%"
"10/28/2024","596.97","594.77","597.68","594.20","70.05M","0.80%"
"10/25/2024","592.25","596.30","598.16","591.94","81.10M","-0.64%"
"10/24/2024","596.05","603.57","603.96","593.92","94.88M","-1.42%"
"10/23/2024","604.62","603.74","608.09","602.20","69.02M","-0.35%"
"10/22/2024","606.75","611.65","613.09","603.90","70.89M","-0.86%"
"10/21/2024","612.02","616.36","616.87","610.40","58.66M","-0.80%"
"10/18/2024","616.97","615.57","618.33","613.81","69.09M","0.47%"
"10/17/2024","614.10","615.00","615.33","612.37","68.92M","0.12%"
"10/16/2024","613.37","609.21","614.34","609.21","61.73M","0.83%"
"10/15/2024","608.32","607.91","613.01","607.80","73.76M","-0.03%"
"10/14/2024","608.53","602.43","609.08","601.69","55.79M","0.53%"
"10/11/2024","605.33","602.35","606.86","602.34","53.39M","0.70%"
"10/10/2024","601.11","598.92","602.22","597.87","58.34M","0.21%"
"10/09/2024","599.85","595.63","601.33","594.52","56.75M","0.64%"
"10/08/2024","596.05","594.89","596.72","592.16","69.88M","-0.37%"
"10/07/2024","598.25","596.31","599.55","595.06","67.73M","-0.17%"
"10/04/2024","599.28","600.37","601.66","595.59","57.06M","0.41%"
"10/03/2024","596.81","599.39","599.95","595.66","56.95M","-1.15%"
"10/02/2024","603.76","604.15","608.17","602.49","65.50M","-0.33%"
"10/01/2024","605.75","607.68","608.16","603.27","67.34M","-0.32%"
"09/30/2024","607.70","609.68","610.43","602.99","81.39M","-0.60%"
"09/27/2024","611.36","612.85","616.48","610.08","74.57M","-0.23%"
"09/26/2024","612.76","607.14","613.64","607.10","101.41M","1.97%"
"09/25/2024","600.93","606.21","606.21","599.33","62.88M","-0.60%"
"09/24/2024","604.57","601.06","605.41","601.06","89.48M","1.35%"
"09/23/2024","596.50","593.33","597.23","592.54","76.43M","0.87%"
"09/20/2024","591.37","594.18","594.18","588.78","174.59M","-0.64%"
"09/19/2024","595.17","595.65","597.46","591.83","81.62M","1.49%"
"09/18/2024","586.45","589.65","593.14","585.45","67.62M","-0.38%"
"09/17/2024","588.70","587.90","593.05","587.39","62.39M","0.16%"
"09/16/2024","587.76","585.86","588.59","583.25","66.46M","0.90%"
"09/13/2024","582.52","578.53","585.62","578.53","65.01M","0.89%"
"09/12/2024","577.37","573.71","577.50","570.87","75.93M","0.91%"
"09/11/2024","572.19","570.99","572.63","558.75","80.55M","0.27%"
"09/10/2024","570.66","570.71","570.73","566.26","61.59M","0.07%"
"09/09/2024","570.26","567.93","573.27","567.76","70.35M","0.99%"
"09/06/2024","564.66","570.66","574.54","563.85","76.34M","-1.35%"
"09/05/2024","572.39","577.89","578.46","570.99","59.38M","-0.80%"
"09/04/2024","577.02","580.23","583.04","576.28","61.32M","-0.48%"
"09/03/2024","579.78","586.60","587.56","577.99","83.30M","-2.29%"
"08/30/2024","593.39","588.56","594.13","585.70","79.82M","1.02%"
"08/29/2024","587.38","586.35","590.90","582.78","52.37M","0.56%"
"08/28/2024","584.12","585.22","587.00","581.92","55.15M","-0.38%"
"08/27/2024","586.37","586.76","586.90","582.77","53.77M","-0.01%"
"08/26/2024","586.44","585.86","590.67","585.56","56.07M","0.39%"
"08/23/2024","584.17","579.22","585.54","578.41","58.48M","1.35%"
"08/22/2024","576.39","577.50","578.63","574.58","51.58M","-0.24%"
"08/21/2024","577.79","573.17","578.11","573.01","51.32M","1.15%"
"08/20/2024","571.21","573.41","575.02","570.55","60.38M","-0.38%"
"08/19/2024","573.41","571.35","573.65","570.63","63.34M","0.50%"
"08/16/2024","570.53","568.80","570.71","566.32","89.02M","0.12%"
"08/15/2024","569.86","566.24","570.99","565.05","82.63M","1.51%"
"08/14/2024","561.41","562.28","562.73","558.39","62.14M","0.00%"
"08/13/2024","561.40","557.66","562.31","556.47","61.47M","1.03%"
"08/12/2024","555.67","558.59","559.52","554.43","59.62M","-0.43%"
"08/09/2024","558.08","558.61","559.87","553.12","55.97M","-0.10%"
"08/08/2024","558.63","551.98","559.68","551.79","73.21M","1.58%"
"08/07/2024","549.95","561.52","564.47","549.72","81.73M","-1.39%"
"08/06/2024","557.73","554.14","564.69","553.13","83.98M","0.56%"
"08/05/2024","554.63","557.58","559.29","550.24","114.75M","-2.28%"
"08/02/2024","567.59","573.23","573.54","560.01","102.29M","-1.89%"
"08/01/2024","578.50","584.17","588.36","574.76","104.96M","-0.35%"
"07/31/2024","580.51","579.82","585.97","577.76","116.62M","1.05%"
"07/30/2024","574.50","573.61","578.66","573.18","77.02M","-0.36%"
"07/29/2024","576.56","576.33","578.01","573.44","75.98M","0.17%"
"07/26/2024","575.56","569.25","577.56","568.26","73.16M","1.68%"
"07/25/2024","566.07","563.76","572.95","561.83","97.88M","0.26%"
"07/24/2024","564.63","571.80","573.68","564.19","94.93M","-1.26%"
"07/23/2024","571.84","571.75","572.94","568.05","82.02M","0.38%"
"07/22/2024","569.67","569.29","570.31","564.90","72.97M","0.34%"
"07/19/2024","567.76","571.81","571.89","566.23","88.23M","-0.87%"
"07/18/2024","572.76","575.72","581.49","572.32","82.43M","-1.02%"
"07/17/2024","578.65","579.11","582.02","578.39","83.80M","-0.20%"
"07/16/2024","579.81","569.18","580.31","567.96","74.16M","1.96%"
"07/15/2024","568.68","569.77","572.58","567.54","67.66M","-0.30%"
"07/12/2024","570.39","568.12","573.03","566.92","101.26M","0.93%"
"07/11/2024","565.14","559.76","565.59","559.76","82.22M","1.42%"
"07/10/2024","557.22","552.44","557.54","552.03","81.03M","1.34%"
"07/09/2024","549.87","553.69","554.21","549.80","75.74M","-1.02%"
"07/08/2024","555.51","555.47","557.20","553.44","130.04M","0.28%"
"07/05/2024","553.95","553.21","554.53","549.68","89.75M","0.13%"
"07/03/2024","553.24","550.26","554.25","550.26","47.57M","0.81%"
"07/02/2024","548.77","547.06","550.39","544.34","94.20M","0.16%"
"07/01/2024","547.90","557.26","558.69","546.07","67.35M","-1.55%"
"06/28/2024","556.50","557.02","560.57","554.90","128.59M","-0.02%"
"06/27/2024","556.59","558.04","558.61","555.52","98.16M","-0.32%"
"06/26/2024","558.35","556.41","558.86","554.33","72.98M","-0.05%"
"06/25/2024","558.64","564.67","564.67","556.98","77.00M","-1.28%"
"06/24/2024","565.91","564.32","568.27","563.44","88.31M","0.56%"
"06/21/2024","562.77","562.52","563.37","558.32","159.90M","0.08%"
"06/20/2024","562.34","561.70","565.10","561.08","92.48M","0.11%"
"06/18/2024","561.74","562.28","564.51","559.22","73.34M","-0.12%"
"06/17/2024","562.40","557.32","563.37","555.09","65.37M","0.69%"
"06/14/2024","558.52","560.19","561.61","555.03","57.98M","-0.94%"
"06/13/2024","563.80","561.97","564.37","558.87","66.29M","-0.02%"
"06/12/2024","563.91","567.80","571.16","562.60","63.26M","0.22%"
"06/11/2024","562.68","560.78","562.70","557.81","72.77M","-0.06%"
"06/10/2024","563.00","562.43","563.55","560.89","73.43M","-0.11%"
"06/07/2024","563.60","566.06","568.20","561.55","82.51M","-1.01%"
"06/06/2024","569.34","568.37","569.42","566.21","66.12M","0.08%"
