"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","77.97","74.52","78.42","74.03","74.09M","4.74%"
"12/30/2008","74.44","71.33","74.82","71.33","57.25M","4.21%"
"12/29/2008","71.43","75.19","75.19","69.79","63.38M","-5.15%"
"12/26/2008","75.31","74.32","75.46","72.82","43.88M","0.94%"
"12/25/2008","74.61","74.61","74.61","74.61","39.42M","0.00%"
"12/24/2008","74.61","73.32","74.62","72.59","39.42M","1.30%"
"12/23/2008","73.65","73.91","75.72","72.92","70.43M","-0.14%"
"12/22/2008","73.75","76.61","76.61","70.74","83.10M","-3.70%"
"12/19/2008","76.58","73.06","76.58","72.72","93.98M","5.06%"
"12/18/2008","72.89","79.96","80.86","72.16","111.46M","-9.13%"
"12/17/2008","80.21","79.24","83.79","75.67","97.88M","0.92%"
"12/16/2008","79.48","69.69","79.48","69.69","141.59M","14.11%"
"12/15/2008","69.65","72.84","72.87","67.37","94.39M","-4.47%"
"12/12/2008","72.91","65.58","72.95","64.24","141.09M","10.82%"
"12/11/2008","65.79","77.74","77.74","65.30","147.35M","-16.01%"
"12/10/2008","78.33","72.57","78.51","72.57","92.51M","7.97%"
"12/09/2008","72.55","79.26","79.26","71.94","109.08M","-8.65%"
"12/08/2008","79.42","73.03","79.42","73.03","133.04M","9.36%"
"12/05/2008","72.62","65.32","72.90","63.82","119.60M","10.82%"
"12/04/2008","65.53","67.35","71.51","64.53","113.89M","-3.06%"
"12/03/2008","67.60","63.73","67.80","60.95","114.93M","5.84%"
"12/02/2008","63.87","56.29","64.12","56.29","150.24M","13.77%"
"12/01/2008","56.14","68.88","68.88","55.43","132.92M","-18.47%"
"11/28/2008","68.86","71.71","71.71","68.61","46.39M","-3.92%"
"11/26/2008","71.67","68.51","71.75","65.77","105.16M","4.55%"
"11/25/2008","68.55","68.29","70.18","63.01","149.76M","0.40%"
"11/24/2008","68.28","56.98","68.63","56.61","156.86M","20.17%"
"11/21/2008","56.82","52.81","57.53","49.28","165.73M","7.82%"
"11/20/2008","52.70","57.28","60.07","51.78","165.01M","-8.04%"
"11/19/2008","57.31","65.77","65.77","56.51","119.71M","-12.97%"
"11/18/2008","65.85","66.29","67.92","62.32","89.08M","-0.74%"
"11/17/2008","66.34","69.24","69.93","66.30","79.69M","-4.27%"
"11/14/2008","69.30","77.14","77.14","68.80","86.64M","-10.41%"
"11/13/2008","77.35","69.31","78.78","66.70","135.05M","11.60%"
"11/12/2008","69.31","75.88","75.88","69.31","182.77M","-9.29%"
"11/11/2008","76.41","77.73","78.12","73.44","133.66M","-1.89%"
"11/10/2008","77.88","85.84","86.17","77.45","80.15M","-9.20%"
"11/07/2008","85.77","80.16","86.29","79.06","82.08M","6.71%"
"11/06/2008","80.38","84.93","84.93","80.08","76.57M","-5.52%"
"11/05/2008","85.08","95.58","95.58","84.36","108.02M","-11.21%"
"11/04/2008","95.82","89.60","95.82","89.60","68.25M","7.70%"
"11/03/2008","88.97","92.68","92.78","88.82","49.79M","-4.05%"
"10/31/2008","92.73","87.18","93.10","86.06","79.76M","6.41%"
"10/30/2008","87.14","84.58","87.57","84.11","63.35M","3.21%"
"10/29/2008","84.43","88.51","89.51","82.52","95.39M","-4.94%"
"10/28/2008","88.82","73.77","89.07","72.80","125.06M","20.74%"
"10/27/2008","73.56","76.78","80.76","73.20","74.28M","-4.47%"
"10/24/2008","77.00","82.13","82.13","75.84","95.20M","-6.78%"
"10/23/2008","82.60","82.53","85.00","74.43","134.65M","0.10%"
"10/22/2008","82.52","90.34","90.34","80.01","92.34M","-8.77%"
"10/21/2008","90.45","94.40","96.04","90.34","53.89M","-4.46%"
"10/20/2008","94.67","94.23","94.77","89.88","47.21M","0.51%"
"10/17/2008","94.19","93.91","98.48","91.08","72.11M","0.03%"
"10/16/2008","94.16","89.67","95.21","86.45","100.88M","5.02%"
"10/15/2008","89.66","103.27","103.27","88.01","83.49M","-13.27%"
