"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","895.80","900.51","900.51","894.26","213.48M","-0.46%"
"12/02/2024","899.98","900.36","900.99","894.41","205.58M","-0.10%"
"11/29/2024","900.88","895.74","901.85","894.98","114.50M","0.41%"
"11/27/2024","897.19","899.78","902.59","895.54","153.67M","0.07%"
"11/26/2024","896.60","892.18","897.44","890.72","186.75M","0.65%"
"11/25/2024","890.83","892.92","895.03","887.42","328.13M","0.37%"
"11/22/2024","887.58","882.96","888.26","882.76","211.68M","1.02%"
"11/21/2024","878.64","868.91","879.67","867.12","194.04M","1.24%"
"11/20/2024","867.90","864.34","868.08","860.31","253.34M","-0.18%"
"11/19/2024","869.49","868.58","872.16","864.02","211.81M","0.34%"
"11/18/2024","866.57","862.59","868.02","861.06","221.36M","0.66%"
"11/15/2024","860.88","866.56","867.20","860.15","282.49M","-0.83%"
"11/14/2024","868.07","868.13","873.04","867.09","194.85M","-0.22%"
"11/13/2024","869.99","866.34","871.03","865.07","171.31M","0.28%"
"11/12/2024","867.59","868.99","871.23","866.15","195.20M","0.09%"
"11/11/2024","866.77","869.96","877.41","866.10","182.55M","-0.53%"
"11/08/2024","871.43","860.56","874.43","860.05","189.09M","1.45%"
"11/07/2024","858.99","857.41","863.62","856.43","217.04M","0.37%"
"11/06/2024","855.82","871.86","871.86","852.44","273.78M","-1.57%"
"11/05/2024","869.49","861.79","869.59","861.18","166.32M","0.69%"
"11/04/2024","863.53","862.70","865.59","860.89","175.31M","0.28%"
"11/01/2024","861.13","863.18","864.38","860.37","180.91M","-0.07%"
"10/31/2024","861.70","860.99","866.52","860.73","266.24M","-0.14%"
"10/30/2024","862.88","862.90","866.84","861.55","218.21M","-0.26%"
"10/29/2024","865.16","869.90","871.38","864.76","219.74M","-0.96%"
"10/28/2024","873.55","875.17","876.89","872.97","153.50M","0.11%"
"10/25/2024","872.55","879.96","880.76","871.65","146.30M","-0.76%"
"10/24/2024","879.25","880.71","882.31","876.80","166.43M","-0.22%"
"10/23/2024","881.16","876.60","882.15","875.89","176.22M","-0.12%"
"10/22/2024","882.24","874.63","883.35","873.86","195.39M","0.92%"
"10/21/2024","874.17","881.28","882.15","873.42","185.95M","-0.81%"
"10/18/2024","881.31","877.02","882.05","874.44","191.34M","0.18%"
"10/17/2024","879.76","884.66","885.88","877.39","169.91M","-0.41%"
"10/16/2024","883.36","881.31","884.40","879.86","181.17M","-0.21%"
"10/15/2024","885.24","881.94","891.93","881.65","236.76M","0.64%"
"10/14/2024","879.57","876.39","880.38","874.90","158.95M","0.42%"
"10/11/2024","875.91","873.50","876.77","869.91","145.08M","0.52%"
"10/10/2024","871.38","876.87","876.99","869.16","142.69M","-0.54%"
"10/09/2024","876.07","869.77","876.57","868.47","149.77M","0.78%"
"10/08/2024","869.27","864.89","870.02","862.94","154.10M","0.67%"
"10/07/2024","863.46","872.20","872.54","862.60","161.20M","-1.10%"
"10/04/2024","873.04","867.84","873.63","867.50","149.37M","0.23%"
"10/03/2024","871.08","875.67","875.94","868.84","155.63M","-0.84%"
"10/02/2024","878.48","881.78","881.78","876.40","189.80M","-0.78%"
"10/01/2024","885.40","888.18","889.54","882.26","188.68M","-0.27%"
"09/30/2024","887.78","890.58","892.65","884.04","193.69M","0.09%"
"09/27/2024","887.00","887.41","891.59","885.42","167.04M","-0.01%"
"09/26/2024","887.13","885.43","891.55","884.30","178.16M","-0.05%"
"09/25/2024","887.53","891.14","892.31","885.64","165.94M","-0.03%"
"09/24/2024","887.83","889.26","892.14","886.78","171.42M","-0.38%"
"09/23/2024","891.23","885.29","894.75","883.81","174.54M","0.57%"
"09/20/2024","886.21","882.25","886.62","879.56","560.06M","0.42%"
"09/19/2024","882.51","890.63","890.63","881.11","197.58M","-0.58%"
"09/18/2024","887.62","891.25","895.52","884.10","180.70M","-0.44%"
"09/17/2024","891.56","898.63","899.61","890.48","171.88M","-0.93%"
"09/16/2024","899.94","901.66","903.36","896.03","161.01M","0.29%"
"09/13/2024","897.32","891.51","898.26","890.14","150.05M","0.61%"
"09/12/2024","891.87","885.94","893.15","883.66","159.50M","0.56%"
