"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","231.8","229.9","234.3","229.6","5.08M","0.85%"
"12/30/2008","229.9","224.7","230.1","224.7","4.87M","2.30%"
"12/29/2008","224.7","225.9","226.3","221.4","4.63M","-0.54%"
"12/26/2008","225.9","225.5","226.4","224.7","2.26M","0.19%"
"12/24/2008","225.5","225.0","226.1","224.4","1.82M","0.21%"
"12/23/2008","225.0","227.1","229.6","223.5","4.91M","-0.92%"
"12/22/2008","227.1","232.1","232.1","222.8","6.28M","-2.14%"
"12/19/2008","232.1","230.0","235.8","230.0","9.56M","0.89%"
"12/18/2008","230.0","235.8","236.7","227.4","7.91M","-2.47%"
"12/17/2008","235.8","240.0","240.0","233.0","8.09M","-1.73%"
"12/16/2008","240.0","228.9","240.6","228.9","9.39M","4.82%"
"12/15/2008","228.9","232.9","232.9","226.0","6.58M","-1.71%"
"12/12/2008","232.9","227.4","234.0","222.9","7.57M","2.43%"
"12/11/2008","227.4","235.1","236.0","226.3","7.94M","-3.28%"
"12/10/2008","235.1","233.5","238.7","232.0","8.07M","0.71%"
"12/09/2008","233.5","234.6","241.2","229.9","9.50M","-0.48%"
"12/08/2008","234.6","223.0","237.2","223.0","9.69M","5.18%"
"12/05/2008","223.0","214.6","224.1","208.2","9.24M","3.91%"
"12/04/2008","214.6","223.9","223.9","211.3","8.96M","-4.15%"
"12/03/2008","223.9","218.0","224.0","212.3","9.70M","2.70%"
"12/02/2008","218.0","210.9","218.7","210.2","8.53M","3.41%"
"12/01/2008","210.9","228.0","228.0","210.9","7.86M","-7.51%"
"11/28/2008","228.0","228.5","228.5","225.2","3.26M","-0.22%"
"11/26/2008","228.5","219.3","228.6","216.5","7.97M","4.20%"
"11/25/2008","219.3","222.7","225.2","214.9","10.15M","-1.53%"
"11/24/2008","222.7","210.0","224.4","210.0","11.18M","6.05%"
"11/21/2008","210.0","198.5","210.1","196.5","13.72M","5.78%"
"11/20/2008","198.5","208.2","214.9","198.1","13.37M","-4.67%"
"11/19/2008","208.2","221.1","223.8","208.2","10.25M","-5.82%"
"11/18/2008","221.1","217.0","221.2","212.1","10.88M","1.92%"
"11/17/2008","217.0","223.5","224.3","216.6","7.88M","-2.91%"
"11/14/2008","223.5","234.9","234.9","222.3","9.67M","-4.86%"
"11/13/2008","234.9","221.4","234.9","208.9","13.22M","6.07%"
"11/12/2008","221.4","233.3","233.3","221.4","8.74M","-5.09%"
"11/11/2008","233.3","238.2","238.2","229.5","7.70M","-2.05%"
"11/10/2008","238.2","242.9","246.9","235.6","7.08M","-1.94%"
"11/07/2008","242.9","236.8","244.1","236.8","8.11M","2.57%"
"11/06/2008","236.8","250.3","250.3","235.3","10.93M","-5.44%"
"11/05/2008","250.4","265.0","265.0","249.9","9.58M","-5.50%"
"11/04/2008","265.0","255.8","265.6","255.8","8.95M","3.60%"
"11/03/2008","255.8","257.4","259.5","254.2","7.17M","-0.62%"
"10/31/2008","257.4","257.2","262.4","251.9","10.42M","0.09%"
"10/30/2008","257.2","251.5","260.3","251.5","11.44M","2.25%"
