"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","147.93","145.42","148.30","145.42","82.73M","1.73%"
"12/30/2008","145.42","143.09","145.42","143.09","65.40M","1.63%"
"12/29/2008","143.09","143.08","143.15","141.09","55.10M","-0.08%"
"12/26/2008","143.20","142.46","144.19","142.46","28.77M","0.52%"
"12/24/2008","142.46","141.44","142.76","141.44","24.03M","0.69%"
"12/23/2008","141.49","143.91","144.44","141.14","79.31M","-1.68%"
"12/22/2008","143.91","144.44","145.53","141.79","95.92M","-0.37%"
"12/19/2008","144.44","144.54","147.59","144.24","138.29M","-0.10%"
"12/18/2008","144.58","143.41","147.18","143.41","122.96M","0.82%"
"12/17/2008","143.41","147.73","147.73","143.30","110.41M","-2.92%"
"12/16/2008","147.73","142.64","147.77","142.64","114.55M","3.57%"
"12/15/2008","142.64","144.99","145.47","140.99","78.42M","-1.62%"
"12/12/2008","144.99","144.31","145.22","141.00","93.23M","0.47%"
"12/11/2008","144.31","145.48","147.94","143.18","90.15M","-0.84%"
"12/10/2008","145.53","142.91","146.10","142.91","84.75M","1.83%"
"12/09/2008","142.91","145.57","146.00","142.22","88.93M","-1.83%"
"12/08/2008","145.57","144.24","147.56","143.19","109.44M","0.80%"
"12/05/2008","144.42","141.19","144.84","135.77","122.54M","2.29%"
"12/04/2008","141.19","147.87","147.87","139.26","112.40M","-4.57%"
"12/03/2008","147.95","144.77","148.21","142.62","136.13M","2.20%"
"12/02/2008","144.77","141.74","145.12","140.66","127.11M","2.14%"
"12/01/2008","141.74","151.66","151.66","141.74","100.32M","-6.54%"
"11/28/2008","151.66","148.83","151.66","148.59","40.39M","1.90%"
"11/26/2008","148.83","147.91","149.44","144.50","98.55M","0.55%"
"11/25/2008","148.01","146.85","150.96","145.06","128.97M","0.74%"
"11/24/2008","146.93","144.83","150.07","143.42","140.59M","1.43%"
"11/21/2008","144.86","133.16","145.12","133.16","188.47M","8.79%"
"11/20/2008","133.16","139.90","142.27","131.75","180.14M","-4.82%"
"11/19/2008","139.90","144.49","147.57","139.90","121.93M","-3.18%"
"11/18/2008","144.50","144.25","146.32","140.12","110.95M","0.17%"
"11/17/2008","144.25","144.89","148.78","141.81","102.01M","-0.44%"
"11/14/2008","144.89","149.32","151.60","142.39","129.09M","-2.97%"
"11/13/2008","149.32","139.12","149.32","137.09","166.32M","7.33%"
"11/12/2008","139.12","142.70","142.70","138.35","98.34M","-2.75%"
"11/11/2008","143.06","142.78","145.49","139.17","96.33M","0.20%"
"11/10/2008","142.78","147.10","149.36","140.63","89.85M","-2.94%"
"11/07/2008","147.10","139.86","147.10","139.86","98.71M","5.07%"
