"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","168.79","164.09","170.26","162.82","8.76M","2.86%"
"12/30/2008","164.09","157.55","164.16","157.55","5.70M","4.12%"
"12/29/2008","157.59","159.02","159.19","154.83","4.84M","-0.99%"
"12/26/2008","159.16","159.04","160.41","157.31","3.29M","0.08%"
"12/24/2008","159.04","156.10","159.14","155.46","2.95M","1.87%"
"12/23/2008","156.12","159.24","161.10","156.05","7.03M","-1.96%"
"12/22/2008","159.24","165.93","166.23","157.29","7.90M","-4.03%"
"12/19/2008","165.93","165.22","169.41","163.49","12.18M","0.43%"
"12/18/2008","165.22","170.35","173.43","164.39","10.63M","-3.02%"
"12/17/2008","170.37","172.51","175.37","167.43","10.98M","-1.25%"
"12/16/2008","172.53","155.09","172.53","155.09","14.41M","11.25%"
"12/15/2008","155.09","161.52","161.54","152.76","8.01M","-3.99%"
"12/12/2008","161.53","158.29","161.74","151.80","10.95M","2.05%"
"12/11/2008","158.29","172.92","172.92","157.98","11.25M","-8.48%"
"12/10/2008","172.95","174.13","176.83","168.32","10.42M","-0.68%"
"12/09/2008","174.13","183.09","183.64","173.35","11.85M","-4.89%"
"12/08/2008","183.09","171.32","183.99","171.32","14.19M","6.85%"
"12/05/2008","171.36","157.74","171.78","154.64","14.30M","8.63%"
"12/04/2008","157.75","160.75","167.23","155.02","12.11M","-1.87%"
"12/03/2008","160.75","151.98","161.58","145.94","14.21M","5.59%"
"12/02/2008","152.24","141.05","153.09","139.71","14.05M","7.93%"
"12/01/2008","141.05","169.95","169.95","140.48","13.31M","-17.00%"
"11/28/2008","169.95","165.23","170.54","163.45","6.73M","2.86%"
"11/26/2008","165.23","157.40","165.37","152.54","12.87M","4.93%"
"11/25/2008","157.46","153.58","160.08","150.20","17.48M","2.49%"
"11/24/2008","153.64","129.36","154.73","129.36","22.61M","18.77%"
"11/21/2008","129.36","125.13","130.14","115.97","27.93M","3.38%"
"11/20/2008","125.13","139.80","141.11","123.26","23.71M","-10.52%"
"11/19/2008","139.84","158.13","158.13","139.39","16.25M","-11.57%"
"11/18/2008","158.13","159.39","161.59","150.70","14.10M","-0.79%"
"11/17/2008","159.39","169.51","169.51","158.78","10.87M","-5.99%"
"11/14/2008","169.55","178.83","179.48","168.15","12.53M","-5.19%"
"11/13/2008","178.83","166.98","180.07","156.54","16.82M","7.09%"
"11/12/2008","166.99","179.29","179.29","166.63","12.38M","-6.91%"
"11/11/2008","179.38","183.76","183.76","175.28","12.06M","-2.38%"
"11/10/2008","183.76","192.13","196.28","181.35","10.47M","-4.40%"
"11/07/2008","192.22","188.13","192.67","185.87","12.18M","2.15%"
"11/06/2008","188.18","201.64","202.57","186.99","12.80M","-6.74%"
"11/05/2008","201.77","220.99","220.99","200.46","10.68M","-8.78%"
"11/04/2008","221.18","209.74","221.76","209.74","10.88M","5.45%"
"11/03/2008","209.74","209.13","211.24","207.18","8.76M","0.29%"
"10/31/2008","209.13","198.27","209.13","196.84","13.98M","5.48%"
"10/30/2008","198.27","195.68","202.16","194.88","12.42M","1.25%"
"10/29/2008","195.83","201.62","207.56","194.21","14.26M","-2.87%"
"10/28/2008","201.62","179.22","201.64","175.05","15.35M","12.50%"
"10/27/2008","179.22","186.85","190.89","178.94","11.95M","-4.08%"
