"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","1,708.30","1,711.35","1,715.20","1,707.49","203.65M","-0.19%"
"12/02/2024","1,711.47","1,713.92","1,714.25","1,703.62","200.70M","-0.13%"
"11/29/2024","1,713.71","1,707.43","1,719.40","1,706.97","110.72M","0.26%"
"11/27/2024","1,709.26","1,703.34","1,719.14","1,703.34","155.21M","0.47%"
"11/26/2024","1,701.24","1,696.37","1,702.39","1,683.29","199.27M","0.45%"
"11/25/2024","1,693.65","1,684.73","1,697.46","1,684.73","339.87M","0.90%"
"11/22/2024","1,678.61","1,681.66","1,687.65","1,675.56","220.40M","0.08%"
"11/21/2024","1,677.19","1,664.94","1,678.93","1,655.92","208.80M","0.83%"
"11/20/2024","1,663.36","1,646.28","1,665.27","1,645.25","221.97M","1.18%"
"11/19/2024","1,643.93","1,639.53","1,648.48","1,632.74","243.63M","-0.48%"
"11/18/2024","1,651.83","1,649.37","1,653.81","1,644.96","277.90M","0.00%"
"11/15/2024","1,651.81","1,677.58","1,677.58","1,648.19","402.84M","-1.88%"
"11/14/2024","1,683.50","1,707.44","1,707.83","1,681.53","228.36M","-1.54%"
"11/13/2024","1,709.79","1,715.10","1,718.74","1,708.24","220.99M","-0.30%"
"11/12/2024","1,714.97","1,735.84","1,739.21","1,714.23","249.86M","-1.34%"
"11/11/2024","1,738.27","1,741.74","1,753.93","1,736.52","264.57M","-0.59%"
"11/08/2024","1,748.63","1,740.42","1,758.02","1,737.34","247.21M","0.70%"
"11/07/2024","1,736.45","1,731.21","1,739.48","1,727.13","268.61M","0.64%"
"11/06/2024","1,725.37","1,740.46","1,756.48","1,716.92","307.62M","0.15%"
"11/05/2024","1,722.74","1,706.59","1,723.04","1,700.81","181.49M","0.75%"
"11/04/2024","1,709.91","1,718.87","1,725.10","1,707.13","195.56M","-0.68%"
"11/01/2024","1,721.67","1,715.61","1,729.71","1,715.61","213.64M","0.59%"
"10/31/2024","1,711.50","1,716.32","1,723.32","1,711.42","233.74M","-0.81%"
"10/30/2024","1,725.50","1,700.26","1,726.43","1,696.32","236.80M","-0.19%"
"10/29/2024","1,728.75","1,731.71","1,739.55","1,728.38","232.21M","-0.29%"
"10/28/2024","1,733.74","1,737.63","1,741.44","1,731.65","182.49M","0.13%"
"10/25/2024","1,731.52","1,747.08","1,747.69","1,729.44","189.46M","-0.53%"
"10/24/2024","1,740.74","1,753.29","1,759.21","1,740.60","195.25M","-0.68%"
"10/23/2024","1,752.58","1,755.76","1,759.04","1,743.30","173.24M","-0.46%"
"10/22/2024","1,760.70","1,753.73","1,763.96","1,753.07","168.80M","-0.16%"
"10/21/2024","1,763.47","1,780.88","1,784.30","1,761.79","168.25M","-1.19%"
"10/18/2024","1,784.70","1,779.03","1,788.72","1,772.31","203.16M","0.48%"
"10/17/2024","1,776.14","1,779.09","1,783.67","1,774.93","179.80M","-0.58%"
"10/16/2024","1,786.58","1,777.92","1,790.13","1,774.81","156.96M","0.28%"
"10/15/2024","1,781.62","1,796.48","1,801.18","1,779.19","200.25M","-1.24%"
"10/14/2024","1,804.05","1,796.14","1,807.49","1,790.69","141.58M","0.51%"
"10/11/2024","1,794.87","1,787.00","1,796.67","1,784.68","157.19M","0.73%"
"10/10/2024","1,781.80","1,788.90","1,788.90","1,777.32","150.36M","-0.35%"
"10/09/2024","1,788.10","1,770.49","1,789.37","1,767.75","163.38M","1.02%"
"10/08/2024","1,769.99","1,766.48","1,772.52","1,763.87","162.04M","0.54%"
"10/07/2024","1,760.44","1,766.15","1,774.38","1,757.31","187.83M","-0.49%"
"10/04/2024","1,769.05","1,769.57","1,772.39","1,759.78","169.64M","0.08%"
"10/03/2024","1,767.64","1,779.41","1,779.60","1,764.39","167.92M","-0.90%"
"10/02/2024","1,783.75","1,778.54","1,788.91","1,772.34","206.47M","-0.20%"
"10/01/2024","1,787.40","1,799.59","1,800.24","1,780.75","184.60M","-0.51%"
"09/30/2024","1,796.48","1,786.39","1,797.27","1,780.48","178.71M","0.61%"
"09/27/2024","1,785.58","1,788.46","1,798.53","1,785.21","190.04M","-0.04%"
"09/26/2024","1,786.28","1,782.76","1,788.12","1,776.00","185.18M","0.32%"
"09/25/2024","1,780.54","1,801.51","1,804.90","1,779.58","194.72M","-0.94%"
"09/24/2024","1,797.38","1,799.55","1,801.14","1,789.93","178.68M","-0.22%"
"09/23/2024","1,801.38","1,809.21","1,810.49","1,798.32","166.46M","-0.25%"
"09/20/2024","1,805.90","1,808.27","1,813.23","1,801.60","427.60M","-0.34%"
"09/19/2024","1,812.06","1,816.87","1,820.17","1,808.02","176.32M","0.35%"
"09/18/2024","1,805.81","1,807.04","1,823.11","1,799.28","168.50M","-0.16%"
"09/17/2024","1,808.70","1,823.71","1,824.01","1,802.82","173.90M","-1.01%"
"09/16/2024","1,827.23","1,824.36","1,831.21","1,821.51","161.97M","0.59%"
"09/13/2024","1,816.48","1,812.22","1,821.91","1,811.84","158.54M","0.19%"
"09/12/2024","1,813.01","1,804.34","1,814.52","1,789.70","179.71M","0.31%"
"09/11/2024","1,807.39","1,804.20","1,808.73","1,779.04","176.46M","-0.25%"
"09/10/2024","1,811.90","1,804.65","1,813.15","1,799.74","174.63M","0.45%"
"09/09/2024","1,803.85","1,792.37","1,809.29","1,788.15","197.99M","0.74%"
"09/06/2024","1,790.65","1,799.81","1,810.66","1,787.72","186.22M","-0.40%"
"09/05/2024","1,797.86","1,821.05","1,821.81","1,789.00","178.55M","-1.39%"
"09/04/2024","1,823.20","1,824.30","1,830.33","1,813.86","160.02M","-0.14%"
"09/03/2024","1,825.78","1,826.24","1,836.44","1,820.84","191.19M","-0.21%"
"08/30/2024","1,829.71","1,818.05","1,830.27","1,810.48","187.60M","0.73%"
"08/29/2024","1,816.49","1,820.01","1,824.88","1,809.32","138.25M","0.21%"
"08/28/2024","1,812.64","1,811.74","1,820.55","1,804.36","132.76M","0.12%"
"08/27/2024","1,810.49","1,811.58","1,815.70","1,804.34","118.82M","0.10%"
"08/26/2024","1,808.63","1,810.73","1,817.27","1,807.13","119.98M","-0.12%"
"08/23/2024","1,810.72","1,806.48","1,811.04","1,800.88","141.80M","0.52%"
"08/22/2024","1,801.37","1,806.48","1,808.81","1,792.85","145.23M","-0.02%"
"08/21/2024","1,801.78","1,801.35","1,805.71","1,794.88","132.47M","0.23%"
"08/20/2024","1,797.72","1,791.58","1,807.01","1,791.58","141.89M","0.37%"
"08/19/2024","1,791.11","1,779.98","1,792.29","1,778.75","139.88M","0.63%"
"08/16/2024","1,779.98","1,778.58","1,782.77","1,772.53","177.66M","0.03%"
"08/15/2024","1,779.41","1,778.02","1,780.61","1,767.46","181.80M","0.60%"
"08/14/2024","1,768.85","1,759.29","1,770.03","1,755.70","162.59M","0.45%"
"08/13/2024","1,760.97","1,746.51","1,762.73","1,745.41","181.61M","1.23%"
"08/12/2024","1,739.59","1,746.94","1,748.91","1,735.80","153.48M","-0.39%"
"08/09/2024","1,746.41","1,741.66","1,751.06","1,738.06","161.94M","0.46%"
"08/08/2024","1,738.44","1,728.67","1,739.44","1,719.36","206.08M","2.26%"
"08/07/2024","1,699.95","1,720.26","1,724.69","1,695.29","222.19M","-1.07%"
"08/06/2024","1,718.33","1,710.90","1,739.95","1,710.10","217.47M","0.48%"
"08/05/2024","1,710.04","1,738.43","1,738.43","1,702.98","246.56M","-2.69%"
"08/02/2024","1,757.39","1,762.43","1,765.45","1,731.04","248.09M","-0.21%"
"08/01/2024","1,761.08","1,742.83","1,762.45","1,741.17","250.85M","1.06%"
"07/31/2024","1,742.67","1,748.16","1,754.76","1,736.68","265.21M","-0.39%"
"07/30/2024","1,749.47","1,750.32","1,760.15","1,736.55","306.62M","0.11%"
"07/29/2024","1,747.59","1,745.26","1,753.62","1,739.17","233.18M","0.09%"
"07/26/2024","1,745.98","1,735.06","1,758.01","1,735.06","289.00M","0.57%"
"07/25/2024","1,736.11","1,744.86","1,765.27","1,735.81","284.19M","-0.57%"
"07/24/2024","1,746.09","1,731.76","1,748.24","1,727.18","195.29M","0.81%"
"07/23/2024","1,731.98","1,741.35","1,741.35","1,730.01","162.62M","-0.03%"
"07/22/2024","1,732.57","1,727.22","1,736.42","1,723.21","176.80M","0.57%"
"07/19/2024","1,722.79","1,724.58","1,730.94","1,716.44","185.40M","0.50%"
"07/18/2024","1,714.22","1,746.59","1,754.57","1,711.61","238.47M","-2.29%"
"07/17/2024","1,754.45","1,734.21","1,763.62","1,734.21","241.21M","0.48%"
"07/16/2024","1,746.01","1,731.48","1,746.63","1,728.53","195.77M","1.45%"
"07/15/2024","1,721.13","1,732.22","1,736.30","1,719.22","172.83M","-0.43%"
"07/12/2024","1,728.54","1,724.57","1,735.97","1,722.88","169.17M","0.59%"
"07/11/2024","1,718.44","1,707.16","1,722.70","1,706.92","197.83M","0.72%"
"07/10/2024","1,706.13","1,691.47","1,706.51","1,688.66","154.83M","0.98%"
"07/09/2024","1,689.61","1,686.56","1,690.82","1,675.67","173.50M","0.43%"
"07/08/2024","1,682.40","1,684.34","1,690.36","1,677.56","150.15M","-0.10%"
"07/05/2024","1,684.01","1,674.00","1,684.93","1,666.28","156.98M","0.73%"
"07/03/2024","1,671.87","1,685.42","1,687.49","1,665.62","102.54M","-0.73%"
"07/02/2024","1,684.13","1,687.13","1,687.13","1,674.88","155.41M","-0.40%"
"07/01/2024","1,690.81","1,702.55","1,719.57","1,687.28","177.72M","-0.56%"
"06/28/2024","1,700.33","1,704.41","1,714.31","1,692.86","403.03M","-0.08%"
"06/27/2024","1,701.63","1,702.75","1,706.53","1,691.87","192.46M","-0.17%"
"06/26/2024","1,704.52","1,706.75","1,710.49","1,701.37","179.05M","-0.36%"
"06/25/2024","1,710.61","1,716.99","1,720.31","1,706.63","172.21M","-0.31%"
"06/24/2024","1,715.86","1,711.15","1,721.96","1,708.45","199.07M","0.55%"
"06/21/2024","1,706.48","1,705.12","1,709.36","1,699.53","444.53M","0.30%"
"06/20/2024","1,701.38","1,693.97","1,703.51","1,688.37","234.31M","0.37%"
"06/18/2024","1,695.18","1,694.33","1,701.11","1,691.97","184.71M","0.12%"
"06/17/2024","1,693.22","1,690.04","1,695.93","1,685.52","179.09M","-0.20%"
"06/14/2024","1,696.64","1,694.11","1,696.79","1,686.82","166.94M","-0.11%"
"06/13/2024","1,698.45","1,693.75","1,700.28","1,681.99","185.67M","-0.04%"
"06/12/2024","1,699.17","1,707.81","1,708.78","1,694.82","176.77M","-0.20%"
"06/11/2024","1,702.63","1,704.07","1,707.31","1,695.61","185.50M","-0.35%"
"06/10/2024","1,708.54","1,699.96","1,709.96","1,694.72","193.56M","0.30%"
"06/07/2024","1,703.44","1,700.41","1,711.91","1,698.45","176.79M","0.11%"
"06/06/2024","1,701.64","1,693.63","1,705.27","1,689.24","184.38M","0.33%"
"06/05/2024","1,696.09","1,691.13","1,697.85","1,681.16","168.44M","0.43%"
"06/04/2024","1,688.81","1,683.09","1,692.89","1,675.78","194.41M","0.33%"
"06/03/2024","1,683.21","1,670.55","1,688.67","1,668.73","205.50M","0.74%"
"05/31/2024","1,670.88","1,649.90","1,672.50","1,649.90","388.14M","1.41%"
"05/30/2024","1,647.70","1,644.82","1,653.48","1,636.64","211.51M","0.07%"
"05/29/2024","1,646.50","1,649.63","1,649.63","1,639.55","196.29M","-0.80%"
"05/28/2024","1,659.75","1,677.06","1,677.06","1,653.40","193.23M","-1.25%"
"05/24/2024","1,680.72","1,687.30","1,690.49","1,679.42","164.82M","-0.31%"
"05/23/2024","1,686.03","1,701.53","1,701.53","1,684.82","205.47M","-1.08%"
"05/22/2024","1,704.44","1,698.44","1,709.79","1,696.05","196.58M","0.20%"
"05/21/2024","1,700.98","1,697.40","1,708.62","1,697.31","169.87M","0.18%"
"05/20/2024","1,697.97","1,701.15","1,702.81","1,694.83","154.82M","-0.30%"
"05/17/2024","1,703.00","1,701.26","1,703.32","1,693.62","174.94M","0.16%"
"05/16/2024","1,700.29","1,700.60","1,704.54","1,695.51","198.27M","-0.10%"
"05/15/2024","1,702.06","1,683.60","1,704.05","1,683.18","191.39M","1.44%"
"05/14/2024","1,677.93","1,672.26","1,678.64","1,666.73","172.68M","0.44%"
"05/13/2024","1,670.66","1,674.47","1,677.05","1,667.44","181.12M","-0.10%"
"05/10/2024","1,672.26","1,670.61","1,677.96","1,669.04","163.41M","0.22%"
"05/09/2024","1,668.56","1,656.28","1,669.61","1,656.28","199.22M","0.79%"
"05/08/2024","1,655.45","1,661.47","1,663.36","1,653.47","189.60M","-0.33%"
"05/07/2024","1,661.01","1,652.00","1,662.37","1,651.00","219.09M","0.81%"
"05/06/2024","1,647.64","1,644.39","1,647.74","1,638.53","196.34M","0.44%"
"05/03/2024","1,640.42","1,645.70","1,645.70","1,632.56","230.49M","0.23%"
"05/02/2024","1,636.72","1,643.43","1,646.25","1,628.21","284.56M","-0.11%"
"05/01/2024","1,638.59","1,626.91","1,652.34","1,625.48","312.85M","0.25%"
"04/30/2024","1,634.44","1,641.26","1,645.06","1,633.85","241.32M","-0.11%"
"04/29/2024","1,636.26","1,632.13","1,640.45","1,628.21","194.76M","0.33%"
"04/26/2024","1,630.84","1,624.41","1,634.72","1,622.61","215.10M","-0.01%"
"04/25/2024","1,630.97","1,639.23","1,641.28","1,621.72","245.28M","-0.62%"
"04/24/2024","1,641.21","1,644.76","1,645.42","1,633.67","186.15M","-0.25%"
"04/23/2024","1,645.35","1,637.30","1,649.24","1,633.35","167.90M","1.25%"
"04/22/2024","1,625.11","1,623.71","1,637.60","1,618.44","177.60M","0.39%"
"04/19/2024","1,618.78","1,619.58","1,622.34","1,612.91","205.26M","0.32%"
"04/18/2024","1,613.65","1,615.13","1,622.19","1,610.67","192.92M","0.02%"
"04/17/2024","1,613.26","1,618.85","1,626.62","1,610.79","201.31M","-0.18%"
"04/16/2024","1,616.11","1,628.58","1,628.58","1,615.32","187.97M","0.02%"
"04/15/2024","1,615.76","1,630.57","1,638.78","1,612.99","182.09M","-0.19%"
"04/12/2024","1,618.87","1,638.41","1,638.41","1,613.55","193.39M","-1.52%"
"04/11/2024","1,643.79","1,654.58","1,656.30","1,639.78","165.76M","-0.49%"
"04/10/2024","1,651.90","1,661.23","1,661.23","1,645.71","174.12M","-1.15%"
"04/09/2024","1,671.07","1,667.05","1,671.38","1,659.19","173.67M","0.39%"
"04/08/2024","1,664.63","1,669.65","1,669.65","1,662.53","158.18M","-0.38%"
"04/05/2024","1,671.01","1,654.50","1,675.28","1,650.69","169.04M","0.91%"
"04/04/2024","1,655.96","1,688.36","1,690.55","1,654.48","193.44M","-1.40%"
"04/03/2024","1,679.47","1,682.31","1,692.13","1,676.02","186.88M","-0.10%"
"04/02/2024","1,681.16","1,691.25","1,691.25","1,673.00","251.33M","-1.62%"
"04/01/2024","1,708.85","1,722.51","1,722.51","1,702.29","142.61M","-0.88%"
"03/28/2024","1,723.97","1,724.54","1,728.67","1,723.66","199.69M","0.11%"
"03/27/2024","1,722.04","1,713.82","1,722.57","1,711.02","192.53M","1.30%"
"03/26/2024","1,699.89","1,697.55","1,702.23","1,693.28","182.79M","0.34%"
"03/25/2024","1,694.13","1,698.19","1,701.33","1,691.67","162.96M","-0.16%"
"03/22/2024","1,696.81","1,701.62","1,705.50","1,694.61","161.14M","-0.14%"
"03/21/2024","1,699.25","1,699.24","1,705.09","1,695.93","171.14M","0.11%"
"03/20/2024","1,697.30","1,698.01","1,698.01","1,687.97","167.47M","-0.23%"
"03/19/2024","1,701.26","1,691.52","1,701.92","1,686.25","196.13M","0.67%"
"03/18/2024","1,689.96","1,693.54","1,698.46","1,688.62","203.02M","-0.02%"
"03/15/2024","1,690.34","1,688.59","1,693.47","1,684.04","520.83M","-0.35%"
"03/14/2024","1,696.29","1,704.66","1,705.34","1,687.33","207.71M","-0.43%"
"03/13/2024","1,703.60","1,713.88","1,717.82","1,697.54","222.25M","-0.41%"
"03/12/2024","1,710.55","1,701.40","1,714.28","1,698.30","192.79M","0.48%"
"03/11/2024","1,702.36","1,699.05","1,704.52","1,690.31","202.04M","-0.05%"
"03/08/2024","1,703.26","1,706.25","1,712.69","1,701.28","203.78M","-0.24%"
"03/07/2024","1,707.30","1,703.95","1,711.15","1,700.96","208.92M","0.49%"
"03/06/2024","1,698.98","1,691.72","1,705.41","1,691.72","257.72M","0.71%"
"03/05/2024","1,687.01","1,702.25","1,703.40","1,682.34","239.75M","-0.80%"
"03/04/2024","1,700.53","1,701.88","1,706.28","1,696.56","266.69M","-0.13%"
"03/01/2024","1,702.79","1,687.23","1,704.23","1,681.95","201.70M","0.97%"
"02/29/2024","1,686.41","1,700.54","1,701.02","1,685.63","290.18M","-0.73%"
"02/28/2024","1,698.75","1,706.63","1,706.63","1,691.46","188.16M","-0.51%"
"02/27/2024","1,707.44","1,706.90","1,712.76","1,699.74","175.00M","-0.27%"
"02/26/2024","1,712.11","1,719.69","1,723.61","1,710.66","186.44M","-0.51%"
"02/23/2024","1,720.80","1,716.96","1,725.67","1,715.32","170.12M","0.44%"
"02/22/2024","1,713.18","1,694.06","1,715.95","1,692.01","195.74M","1.21%"
"02/21/2024","1,692.77","1,683.86","1,693.28","1,678.78","183.36M","0.26%"
"02/20/2024","1,688.33","1,695.48","1,701.32","1,684.99","209.34M","-0.40%"
"02/16/2024","1,695.12","1,688.99","1,706.27","1,686.29","218.53M","0.29%"
"02/15/2024","1,690.30","1,680.50","1,693.74","1,677.39","201.27M","0.70%"
"02/14/2024","1,678.50","1,667.27","1,678.95","1,666.64","181.62M","0.81%"
"02/13/2024","1,665.05","1,673.33","1,682.07","1,656.08","208.90M","-0.87%"
"02/12/2024","1,679.64","1,676.19","1,680.17","1,667.65","181.21M","0.10%"
"02/09/2024","1,678.00","1,677.67","1,680.90","1,672.44","198.30M","-0.05%"
"02/08/2024","1,678.92","1,679.70","1,680.25","1,671.31","210.51M","-0.17%"
"02/07/2024","1,681.82","1,680.94","1,689.56","1,678.89","227.85M","0.26%"
"02/06/2024","1,677.47","1,672.26","1,678.49","1,664.26","268.51M","1.09%"
"02/05/2024","1,659.46","1,653.64","1,669.91","1,653.24","250.25M","0.31%"
"02/02/2024","1,654.34","1,654.92","1,661.58","1,646.20","246.18M","-0.12%"
"02/01/2024","1,656.30","1,637.91","1,656.45","1,630.02","234.60M","1.27%"
"01/31/2024","1,635.58","1,644.25","1,650.48","1,635.20","297.36M","-0.11%"
"01/30/2024","1,637.40","1,634.40","1,639.83","1,628.78","227.80M","0.25%"
"01/29/2024","1,633.36","1,622.71","1,633.83","1,622.17","214.59M","0.68%"
"01/26/2024","1,622.26","1,620.91","1,625.37","1,618.18","200.14M","0.59%"
"01/25/2024","1,612.81","1,608.68","1,613.13","1,598.18","238.50M","-0.23%"
"01/24/2024","1,616.48","1,634.72","1,639.37","1,616.01","205.23M","-0.91%"
"01/23/2024","1,631.30","1,630.42","1,632.12","1,619.70","167.29M","-0.05%"
"01/22/2024","1,632.17","1,626.71","1,636.71","1,623.05","208.50M","0.38%"
"01/19/2024","1,625.99","1,625.30","1,629.24","1,616.86","212.40M","0.06%"
"01/18/2024","1,624.94","1,615.37","1,626.14","1,603.49","225.45M","0.01%"
"01/17/2024","1,624.75","1,626.39","1,633.10","1,620.47","179.13M","-0.24%"
"01/16/2024","1,628.69","1,634.88","1,636.06","1,625.77","196.66M","-0.55%"
"01/12/2024","1,637.75","1,638.90","1,645.05","1,632.56","173.96M","-0.29%"
"01/11/2024","1,642.58","1,643.76","1,644.56","1,632.93","214.34M","-0.11%"
"01/10/2024","1,644.44","1,638.60","1,646.16","1,631.74","212.35M","0.42%"
"01/09/2024","1,637.63","1,635.59","1,651.17","1,632.44","215.47M","0.04%"
"01/08/2024","1,636.96","1,623.86","1,637.31","1,616.55","209.04M","0.84%"
"01/05/2024","1,623.32","1,620.38","1,629.40","1,615.94","202.50M","-0.02%"
"01/04/2024","1,623.72","1,616.72","1,632.93","1,616.72","228.84M","0.46%"
"01/03/2024","1,616.21","1,621.84","1,625.59","1,614.64","215.21M","-0.14%"
"01/02/2024","1,618.40","1,587.92","1,621.51","1,586.81","240.66M","1.76%"
"12/29/2023","1,590.36","1,589.45","1,593.70","1,584.79","137.78M","0.03%"
"12/28/2023","1,589.86","1,587.01","1,594.66","1,587.01","124.33M","0.24%"
"12/27/2023","1,586.03","1,577.81","1,586.35","1,577.05","139.65M","0.46%"
"12/26/2023","1,578.69","1,573.52","1,582.83","1,572.35","117.22M","0.22%"
"12/22/2023","1,575.27","1,571.38","1,580.00","1,569.29","155.14M","0.49%"
"12/21/2023","1,567.63","1,556.32","1,568.60","1,555.65","192.09M","1.20%"
"12/20/2023","1,549.01","1,570.94","1,571.15","1,548.83","221.38M","-1.46%"
"12/19/2023","1,571.98","1,562.79","1,572.13","1,560.40","234.93M","0.67%"
"12/18/2023","1,561.53","1,562.70","1,565.99","1,557.40","222.28M","0.19%"
"12/15/2023","1,558.59","1,564.89","1,565.50","1,552.92","537.54M","-0.85%"
"12/14/2023","1,571.96","1,583.11","1,586.26","1,566.02","358.73M","-0.55%"
"12/13/2023","1,580.62","1,548.52","1,581.01","1,543.94","348.83M","1.83%"
"12/12/2023","1,552.29","1,548.08","1,554.11","1,540.30","206.07M","0.47%"
"12/11/2023","1,545.10","1,541.00","1,547.82","1,536.15","207.26M","0.61%"
"12/08/2023","1,535.68","1,533.92","1,538.70","1,526.18","173.94M","0.18%"
"12/07/2023","1,532.92","1,536.77","1,537.32","1,525.74","189.44M","-0.08%"
"12/06/2023","1,534.12","1,535.68","1,539.60","1,532.38","181.64M","0.06%"
"12/05/2023","1,533.18","1,532.15","1,535.76","1,524.09","190.10M","-0.17%"
"12/04/2023","1,535.76","1,528.76","1,538.47","1,528.38","213.93M","0.21%"
"12/01/2023","1,532.57","1,524.61","1,534.04","1,523.83","257.12M","0.36%"
"11/30/2023","1,527.10","1,509.60","1,527.80","1,504.29","322.66M","1.25%"
"11/29/2023","1,508.21","1,506.16","1,516.15","1,505.20","189.58M","0.02%"
"11/28/2023","1,507.92","1,513.93","1,516.24","1,506.75","169.67M","-0.50%"
"11/27/2023","1,515.55","1,523.39","1,526.47","1,513.15","168.89M","-0.64%"
"11/24/2023","1,525.24","1,521.46","1,525.53","1,520.12","71.37M","0.51%"
"11/22/2023","1,517.49","1,515.77","1,520.47","1,512.84","140.35M","0.54%"
"11/21/2023","1,509.34","1,503.80","1,512.75","1,503.65","185.44M","0.61%"
"11/20/2023","1,500.21","1,487.38","1,503.97","1,485.74","203.67M","0.52%"
