"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","6,049.9","6,043.0","6,052.1","6,033.4","","0.05%"
"12/02/2024","6,047.1","6,040.1","6,053.6","6,035.3","","0.24%"
"11/29/2024","6,032.4","6,004.0","6,044.2","6,004.0","0.00K","0.56%"
"11/27/2024","5,998.7","6,014.1","6,020.2","5,984.9","","-0.38%"
"11/26/2024","6,021.6","6,000.0","6,025.4","5,992.3","","0.57%"
"11/25/2024","5,987.4","5,992.3","6,020.8","5,963.9","","0.30%"
"11/22/2024","5,969.3","5,944.4","5,972.9","5,944.4","","0.35%"
"11/21/2024","5,948.7","5,940.6","5,963.3","5,887.3","","0.53%"
"11/20/2024","5,917.1","5,914.3","5,920.7","5,860.6","","0.00%"
"11/19/2024","5,917.0","5,870.0","5,923.5","5,855.3","","0.40%"
"11/18/2024","5,893.6","5,874.2","5,908.1","5,866.0","","0.39%"
"11/15/2024","5,870.6","5,912.8","5,915.3","5,853.0","","-1.32%"
"11/14/2024","5,949.2","5,989.7","5,993.9","5,942.3","","-0.60%"
"11/13/2024","5,985.4","5,985.8","6,008.2","5,965.9","","0.02%"
"11/12/2024","5,984.0","6,003.6","6,009.9","5,960.1","","-0.29%"
"11/11/2024","6,001.4","6,008.9","6,017.3","5,986.7","","0.10%"
"11/08/2024","5,995.5","5,976.8","6,012.5","5,976.8","","0.38%"
"11/07/2024","5,973.1","5,947.2","5,983.8","5,947.2","","0.74%"
"11/06/2024","5,929.0","5,864.9","5,936.1","5,864.9","","2.53%"
"11/05/2024","5,782.8","5,722.4","5,783.4","5,722.1","","1.23%"
"11/04/2024","5,712.7","5,725.1","5,741.4","5,696.5","","-0.28%"
"11/01/2024","5,728.8","5,723.2","5,772.5","5,723.2","","0.41%"
"10/31/2024","5,705.5","5,775.3","5,775.3","5,702.9","","-1.86%"
"10/30/2024","5,813.7","5,832.6","5,850.9","5,811.3","","-0.33%"
"10/29/2024","5,832.9","5,819.7","5,847.2","5,802.2","","0.16%"
"10/28/2024","5,823.5","5,833.9","5,842.9","5,823.1","","0.27%"
"10/25/2024","5,808.1","5,826.8","5,862.8","5,800.0","","-0.03%"
"10/24/2024","5,809.9","5,817.8","5,817.8","5,784.9","","0.21%"
"10/23/2024","5,797.4","5,834.5","5,834.9","5,762.4","","-0.92%"
"10/22/2024","5,851.2","5,832.7","5,863.0","5,821.2","","-0.05%"
"10/21/2024","5,854.0","5,857.8","5,866.9","5,824.8","","-0.18%"
"10/18/2024","5,864.7","5,859.4","5,872.2","5,846.1","","0.40%"
"10/17/2024","5,841.5","5,875.6","5,878.5","5,840.3","","-0.02%"
"10/16/2024","5,842.5","5,816.6","5,846.5","5,808.3","","0.47%"
"10/15/2024","5,815.3","5,866.7","5,870.4","5,804.5","","-0.76%"
"10/14/2024","5,859.9","5,829.8","5,871.4","5,829.6","","0.77%"
"10/11/2024","5,815.0","5,775.1","5,822.1","5,775.1","","0.61%"
"10/10/2024","5,780.0","5,778.4","5,795.0","5,764.8","","-0.21%"
"10/09/2024","5,792.0","5,751.8","5,796.8","5,745.0","","0.71%"
"10/08/2024","5,751.1","5,719.1","5,757.6","5,714.6","","0.97%"
"10/07/2024","5,695.9","5,737.8","5,739.3","5,686.9","","-0.96%"
"10/04/2024","5,751.1","5,737.5","5,753.2","5,702.8","","0.90%"
"10/03/2024","5,699.9","5,698.2","5,718.8","5,677.4","","-0.17%"
"10/02/2024","5,709.5","5,698.1","5,719.6","5,674.0","","0.01%"
"10/01/2024","5,708.8","5,757.7","5,757.7","5,681.3","","-0.93%"
"09/30/2024","5,762.5","5,726.5","5,765.1","5,703.5","","0.42%"
"09/27/2024","5,738.2","5,755.4","5,763.8","5,727.3","","-0.13%"
"09/26/2024","5,745.4","5,762.2","5,767.4","5,721.0","","0.40%"
"09/25/2024","5,722.3","5,733.6","5,741.0","5,712.1","","-0.19%"
"09/24/2024","5,732.9","5,727.7","5,735.3","5,699.0","","0.25%"
"09/23/2024","5,718.6","5,711.9","5,725.4","5,704.2","","0.28%"
"09/20/2024","5,702.5","5,709.6","5,715.1","5,674.5","","-0.19%"
"09/19/2024","5,713.6","5,702.6","5,733.6","5,686.4","","1.70%"
"09/18/2024","5,618.3","5,641.7","5,689.8","5,615.1","","-0.29%"
"09/17/2024","5,634.6","5,655.5","5,670.8","5,614.0","","0.03%"
"09/16/2024","5,633.1","5,615.2","5,636.0","5,604.5","","0.13%"
"09/13/2024","5,626.0","5,603.3","5,636.3","5,601.6","","0.54%"
"09/12/2024","5,595.8","5,557.5","5,600.7","5,535.5","","0.75%"
"09/11/2024","5,554.1","5,496.4","5,560.4","5,407.0","","1.07%"
"09/10/2024","5,495.5","5,490.5","5,497.9","5,441.7","","0.45%"
"09/09/2024","5,471.0","5,442.1","5,484.2","5,434.5","","1.16%"
"09/06/2024","5,408.4","5,507.3","5,522.5","5,402.6","","-1.73%"
"09/05/2024","5,503.4","5,520.1","5,546.3","5,480.5","","-0.30%"
"09/04/2024","5,520.1","5,506.7","5,553.0","5,503.7","","-0.16%"
"09/03/2024","5,528.9","5,623.9","5,623.9","5,504.3","","-2.12%"
"08/30/2024","5,648.4","5,612.7","5,651.4","5,581.8","","1.01%"
"08/29/2024","5,592.0","5,607.3","5,647.0","5,583.7","","0.00%"
"08/28/2024","5,592.2","5,624.5","5,627.0","5,561.0","","-0.60%"
"08/27/2024","5,625.8","5,602.9","5,631.2","5,593.5","","0.16%"
"08/26/2024","5,616.8","5,639.7","5,651.6","5,602.3","","-0.32%"
"08/23/2024","5,634.6","5,602.5","5,641.8","5,585.2","","1.15%"
"08/22/2024","5,570.6","5,637.8","5,643.2","5,561.0","","-0.89%"
"08/21/2024","5,620.9","5,603.1","5,632.7","5,591.6","","0.42%"
"08/20/2024","5,597.1","5,602.9","5,620.5","5,585.5","","-0.20%"
"08/19/2024","5,608.3","5,557.2","5,608.3","5,550.7","","0.97%"
"08/16/2024","5,554.3","5,530.5","5,562.0","5,525.2","","0.20%"
"08/15/2024","5,543.2","5,501.1","5,546.2","5,501.1","","1.61%"
"08/14/2024","5,455.2","5,442.4","5,463.2","5,415.9","","0.38%"
"08/13/2024","5,434.4","5,377.0","5,436.5","5,377.0","","1.68%"
"08/12/2024","5,344.4","5,351.9","5,371.2","5,324.4","","0.00%"
"08/09/2024","5,344.2","5,314.7","5,358.7","5,300.8","","0.47%"
"08/08/2024","5,319.3","5,252.6","5,328.0","5,233.9","","2.30%"
"08/07/2024","5,199.5","5,293.1","5,330.6","5,195.5","","-0.77%"
"08/06/2024","5,240.0","5,206.4","5,312.3","5,193.6","","1.04%"
"08/05/2024","5,186.3","5,151.1","5,250.9","5,119.3","","-3.00%"
"08/02/2024","5,346.6","5,376.6","5,383.9","5,302.0","","-1.84%"
"08/01/2024","5,446.7","5,537.8","5,566.2","5,410.4","","-1.37%"
"07/31/2024","5,522.3","5,505.6","5,551.5","5,493.8","","1.58%"
"07/30/2024","5,436.4","5,478.7","5,489.5","5,401.7","","-0.50%"
"07/29/2024","5,463.5","5,476.5","5,487.7","5,444.4","","0.08%"
"07/26/2024","5,459.1","5,433.7","5,488.3","5,430.7","","1.11%"
"07/25/2024","5,399.2","5,428.7","5,491.6","5,391.0","","-0.51%"
"07/24/2024","5,427.1","5,505.8","5,508.0","5,420.0","","-2.31%"
"07/23/2024","5,555.7","5,565.3","5,585.3","5,550.9","","-0.16%"
"07/22/2024","5,564.4","5,544.5","5,570.4","5,529.0","","1.08%"
"07/19/2024","5,505.0","5,543.4","5,557.5","5,497.0","","-0.71%"
"07/18/2024","5,544.6","5,608.6","5,614.0","5,522.8","","-0.78%"
"07/17/2024","5,588.3","5,610.1","5,622.5","5,584.8","","-1.39%"
"07/16/2024","5,667.2","5,644.1","5,669.7","5,639.0","","0.64%"
"07/15/2024","5,631.2","5,638.2","5,666.9","5,614.8","","0.28%"
"07/12/2024","5,615.4","5,590.8","5,655.6","5,590.4","","0.55%"
"07/11/2024","5,584.5","5,635.2","5,642.5","5,576.5","","-0.88%"
"07/10/2024","5,633.9","5,591.3","5,635.4","5,586.4","","1.02%"
"07/09/2024","5,577.0","5,584.2","5,590.8","5,574.6","","0.07%"
"07/08/2024","5,572.9","5,572.8","5,583.1","5,562.5","","0.10%"
"07/05/2024","5,567.2","5,537.9","5,570.3","5,531.6","","0.54%"
"07/03/2024","5,537.0","5,507.4","5,539.3","5,507.4","","0.51%"
"07/02/2024","5,509.0","5,461.8","5,509.7","5,458.4","","0.62%"
"07/01/2024","5,475.1","5,471.1","5,479.5","5,446.5","","0.27%"
"06/28/2024","5,460.5","5,488.5","5,523.6","5,451.1","","-0.41%"
"06/27/2024","5,482.9","5,473.6","5,490.8","5,467.5","","0.09%"
"06/26/2024","5,477.9","5,460.7","5,483.1","5,451.9","","0.16%"
"06/25/2024","5,469.3","5,460.7","5,472.9","5,446.6","","0.39%"
"06/24/2024","5,447.9","5,459.6","5,490.7","5,447.6","","-0.31%"
"06/21/2024","5,464.6","5,466.8","5,478.3","5,452.0","","-0.16%"
"06/20/2024","5,473.2","5,500.0","5,505.5","5,455.6","","-0.25%"
"06/18/2024","5,487.0","5,476.1","5,490.4","5,471.3","","0.25%"
"06/17/2024","5,473.2","5,431.1","5,488.5","5,420.4","","0.77%"
"06/14/2024","5,431.6","5,424.1","5,432.4","5,403.8","","-0.04%"
"06/13/2024","5,433.7","5,441.9","5,441.9","5,402.5","","0.23%"
"06/12/2024","5,421.0","5,409.1","5,447.3","5,409.1","","0.85%"
"06/11/2024","5,375.3","5,353.0","5,376.0","5,327.3","","0.27%"
"06/10/2024","5,360.8","5,341.2","5,365.8","5,331.5","","0.26%"
"06/07/2024","5,347.0","5,343.8","5,375.1","5,331.3","","-0.11%"
"06/06/2024","5,353.0","5,357.8","5,362.4","5,335.4","","-0.02%"
"06/05/2024","5,354.0","5,314.5","5,354.2","5,297.6","","1.18%"
"06/04/2024","5,291.3","5,278.2","5,298.8","5,257.6","","0.15%"
"06/03/2024","5,283.4","5,297.1","5,302.1","5,234.3","","0.11%"
"05/31/2024","5,277.5","5,243.2","5,280.3","5,191.7","","0.80%"
"05/30/2024","5,235.5","5,259.8","5,260.2","5,222.1","","-0.60%"
"05/29/2024","5,267.0","5,278.7","5,282.3","5,262.7","","-0.74%"
"05/28/2024","5,306.0","5,315.9","5,315.9","5,280.9","","0.02%"
"05/24/2024","5,304.7","5,281.5","5,311.6","5,278.4","","0.70%"
"05/23/2024","5,267.8","5,340.3","5,341.9","5,256.9","","-0.74%"
"05/22/2024","5,307.0","5,319.3","5,323.2","5,286.0","","-0.27%"
"05/21/2024","5,321.4","5,298.7","5,324.3","5,297.9","","0.25%"
"05/20/2024","5,308.1","5,305.4","5,325.3","5,302.4","","0.09%"
"05/17/2024","5,303.3","5,303.1","5,305.5","5,283.6","","0.12%"
"05/16/2024","5,297.1","5,310.1","5,325.5","5,296.2","","-0.21%"
"05/15/2024","5,308.1","5,263.3","5,311.8","5,263.3","","1.17%"
"05/14/2024","5,246.7","5,221.1","5,250.4","5,218.0","","0.48%"
"05/13/2024","5,221.4","5,233.1","5,237.3","5,211.2","","-0.02%"
"05/10/2024","5,222.7","5,225.5","5,239.7","5,209.7","","0.16%"
"05/09/2024","5,214.1","5,189.0","5,215.3","5,180.4","","0.51%"
"05/08/2024","5,187.7","5,169.0","5,192.0","5,165.9","","0.00%"
"05/07/2024","5,187.7","5,187.2","5,200.2","5,179.0","","0.13%"
"05/06/2024","5,180.7","5,142.4","5,181.0","5,142.4","","1.03%"
"05/03/2024","5,127.8","5,122.8","5,139.1","5,101.2","","1.26%"
"05/02/2024","5,064.2","5,049.3","5,073.2","5,011.0","","0.91%"
"05/01/2024","5,018.4","5,029.0","5,096.1","5,013.5","","-0.34%"
